,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Hobyo,30,SO,1584476189,76,5.35,48.53,79.07,14.36
375,Heinola,90,FI,1584476380,93,61.21,26.04,37.4,12.75
376,Broome,90,US,1584476191,93,42.25,-75.83,46.99,6.93
377,Presidencia Roque Sáenz Peña,94,AR,1584476380,42,-26.79,-60.44,92.39,2.89
378,Ransang,0,PH,1584476380,64,8.96,117.58,77.81,3.47
379,Viedma,1,AR,1584476123,73,-40.81,-63.0,67.37,19.46
380,Cabedelo,40,BR,1584476172,70,-6.98,-34.83,86.0,12.75
381,Aksu,29,CN,1584476159,26,41.12,80.26,46.31,7.56
382,Rāghogarh,0,IN,1584476369,28,24.45,77.2,68.99,8.16
383,Greensburg,90,US,1584476381,81,40.3,-79.54,46.0,14.99
384,Manaure,20,CO,1584476326,58,11.78,-72.44,86.0,16.11
385,Olinda,20,BR,1584475947,70,-8.01,-34.86,86.0,8.05
386,Balkhash,100,KZ,1584476381,78,46.84,74.98,36.05,12.53
387,Alofi,75,NU,1584476162,79,-19.06,-169.92,84.2,8.05
388,Itagibá,16,BR,1584476381,94,-14.28,-39.84,72.77,2.19
389,Akdepe,100,TM,1584476381,43,42.06,59.38,59.0,11.41
390,Ostrovnoy,4,RU,1584476044,92,68.05,39.51,19.67,15.28
391,Mehamn,75,NO,1584476133,79,71.04,27.85,24.8,4.7
392,Sitka,1,US,1584476166,65,57.05,-135.33,41.0,13.87
393,Jaisalmer,0,IN,1584476382,20,26.91,70.92,77.27,6.46
394,Lavrentiya,100,RU,1584476382,96,65.58,-171.0,27.23,8.79
395,Ferme-Neuve,95,CA,1584476382,87,46.7,-75.45,34.43,14.58
396,Guilin,75,CN,1584476383,100,25.28,110.29,55.4,3.13
397,Sulina,76,RO,1584476383,64,45.16,29.65,40.73,6.82
398,Deer Lake,90,CA,1584476383,63,49.17,-57.43,30.2,19.46
399,Faanui,100,PF,1584476124,73,-16.48,-151.75,82.67,8.1
400,Clarence Town,24,AU,1584476383,100,-32.58,151.78,59.0,5.82
401,Catió,32,GW,1584476383,72,11.28,-15.25,73.85,6.85
402,Konya Province,40,TR,1584476384,79,38.17,32.5,26.6,11.41
403,Anadyr,20,RU,1584475966,79,64.75,177.48,21.2,8.95
404,Laas,0,IT,1584476384,66,46.62,10.7,50.0,2.24
405,Tullahoma,90,US,1584476384,87,35.36,-86.21,68.0,10.29
406,Morehead,40,US,1584476384,58,37.27,-87.18,59.0,4.7
407,Bereket,98,TM,1584476384,82,39.24,55.52,48.83,0.74
408,Ca Mau,77,VN,1584476147,94,9.18,105.15,73.49,2.51
409,Salihorsk,96,BY,1584476385,79,52.79,27.54,37.67,5.64
410,Sistranda,75,NO,1584476385,93,63.73,8.83,37.99,29.97
411,Kétegyháza,0,HU,1584476385,60,46.53,21.18,42.8,2.24
412,Milledgeville,75,US,1584476385,77,33.08,-83.23,75.0,2.01
413,Beringovskiy,38,RU,1584476373,87,63.05,179.32,30.11,15.93
414,Dogondoutchi,1,NE,1584476183,6,13.64,4.03,85.37,9.33
415,Morant Bay,20,JM,1584476386,62,17.88,-76.41,87.8,18.34
416,Nangomba,100,TZ,1584476386,97,-10.9,38.5,72.23,1.1
417,Languyan,95,PH,1584476386,77,5.26,120.08,80.87,9.69
418,Kendari,41,ID,1584476386,97,-3.94,122.5,72.05,2.66
419,Udachny,0,RU,1584476386,75,66.42,112.4,-16.6,4.47
420,Pangody,100,RU,1584476092,95,65.85,74.49,23.45,11.14
421,Fort Nelson,75,CA,1584476386,58,58.81,-122.7,26.6,2.24
422,Komatsu,75,JP,1584476387,81,36.4,136.45,44.6,10.29
423,Portland,40,US,1584475947,46,45.52,-122.68,59.0,4.7
424,Ekibastuz,0,KZ,1584476387,80,51.67,75.37,26.33,16.08
425,Shingū,0,JP,1584476148,64,33.73,135.98,55.31,11.83
426,Dingle,14,PH,1584476088,92,11.0,122.67,72.41,9.89
427,Ayr,75,GB,1584476387,93,55.46,-4.63,44.6,4.7
428,Kano,100,NG,1584476387,24,12.0,8.52,82.4,3.36
429,Huambo,100,AO,1584476388,99,-12.78,15.74,61.61,0.81
430,Srednekolymsk,97,RU,1584475925,96,67.45,153.68,-11.29,8.37
431,Auki,0,SB,1584476146,74,-8.77,160.7,83.75,3.76
432,Xicoténcatl,34,MX,1584476388,47,23.02,-98.88,91.0,11.01
433,Cidreira,93,BR,1584476118,79,-30.18,-50.21,73.67,19.17
434,Avera,90,US,1584476388,77,33.19,-82.53,73.4,5.06
435,Mahabalipuram,20,IN,1584476389,83,12.63,80.17,82.99,2.24
436,Muisne,40,EC,1584476389,83,0.6,-80.03,84.2,6.93
437,Dauphin,20,CA,1584476389,62,51.15,-100.05,19.4,6.93
438,Canandaigua,90,US,1584476389,69,42.87,-77.29,46.0,5.82
439,Hanyang,80,CN,1584476389,63,32.14,105.51,54.0,2.13
440,Namatanai,100,PG,1584476138,78,-3.67,152.43,81.95,8.68
441,Half Moon Bay,75,US,1584476289,58,37.46,-122.43,57.99,3.36
442,Port Lincoln,100,AU,1584476390,40,-34.73,135.87,72.05,4.07
443,Tobol,0,KZ,1584476390,86,52.68,62.58,21.83,13.62
444,Olhão,20,PT,1584476390,82,37.03,-7.84,55.4,11.41
445,Jalu,0,LY,1584476131,28,29.03,21.55,62.87,16.24
446,Kirensk,100,RU,1584476390,93,57.79,108.11,10.13,6.08
447,Progreso,75,MX,1584476108,26,21.28,-89.67,96.8,13.87
448,Mayo,40,US,1584476132,51,38.89,-76.51,64.99,8.05
449,Peniche,20,PT,1584476127,82,39.36,-9.38,61.0,5.82
450,Gayny,55,RU,1584476391,97,60.31,54.32,17.69,5.03
451,Fukagawa,15,JP,1584476391,88,43.71,142.04,26.87,1.43
452,Havre-St-Pierre,90,CA,1584476123,79,50.23,-63.6,26.6,19.46
453,Isangel,75,VU,1584476145,83,-19.55,169.27,80.6,16.49
454,Çorum Province,73,TR,1584476392,73,40.5,34.75,23.81,8.81
455,Solano,75,US,1584476392,66,38.23,-121.95,57.0,4.7
456,Imbituba,75,BR,1584476392,69,-28.24,-48.67,75.2,6.93
457,Bozoum,92,CF,1584476392,20,6.32,16.38,75.83,3.58
458,Puri,0,IN,1584476392,88,19.8,85.85,78.8,4.7
459,Cap Malheureux,20,MU,1584476392,94,-19.98,57.61,75.2,2.24
460,Beruwala,100,LK,1584476393,87,6.48,79.98,76.01,7.65
461,Vinh Yen,90,VN,1584476393,93,21.31,105.6,66.2,10.29
462,Mokobeng,0,BW,1584476393,70,-23.0,27.67,65.21,7.61
463,Nanortalik,0,GL,1584476114,57,60.14,-45.24,19.85,14.27
464,Grand Gaube,20,MU,1584476393,94,-20.01,57.66,75.2,2.24
465,Yar-Sale,83,RU,1584476136,86,66.83,70.83,14.45,12.26
466,Hamilton,90,US,1584475988,53,39.18,-84.53,52.0,8.05
467,Sisimiut,100,GL,1584476394,72,66.94,-53.67,4.37,17.2
468,Gari,0,RU,1584476394,84,59.43,62.35,22.37,10.85
469,São Sebastião,34,BR,1584476394,82,-23.76,-45.41,78.53,4.83
470,Kulykivka,30,UA,1584476394,94,51.37,31.65,34.61,2.66
471,Mossendjo,100,CG,1584476394,93,-2.95,12.73,72.05,1.05
472,La Ronge,75,CA,1584476394,45,55.1,-105.28,3.2,6.93
473,Hailar,97,CN,1584476068,85,49.2,119.7,20.03,11.59
474,Sīwah,0,EG,1584476395,46,29.2,25.52,58.55,9.31
475,Jibert,0,RO,1584476395,37,46.0,25.07,42.01,3.0
476,Zorgo,7,BF,1584476395,8,12.25,-0.62,89.87,8.32
477,Mugumu,100,TZ,1584476395,93,-1.85,34.7,65.39,2.51
478,Āsosa,69,ET,1584476395,15,10.07,34.53,74.03,5.23
479,Muromtsevo,40,RU,1584476395,85,56.37,75.24,22.37,12.03
480,Broken Hill,0,AU,1584476395,45,-31.95,141.43,68.0,9.17
481,Mandalgovi,2,MN,1584476396,67,45.76,106.27,20.75,29.66
482,Mil'kovo,100,RU,1584476396,89,54.72,158.62,8.15,2.08
483,Lorengau,100,PG,1584476120,79,-2.02,147.27,82.49,8.12
484,Mitsamiouli,96,KM,1584476396,66,-11.38,43.28,83.57,2.8
485,Izazi,75,TZ,1584476396,88,-7.2,35.73,68.0,2.3
486,Kawalu,56,ID,1584476116,93,-7.38,108.21,69.71,2.95
487,Novo Cruzeiro,24,BR,1584476396,97,-17.47,-41.88,69.35,2.33
488,Safi,30,MA,1584476383,92,32.3,-9.24,50.27,11.7
489,Puerto Carreño,40,CO,1584476397,29,6.19,-67.49,98.6,11.41
490,Vanimo,81,PG,1584476397,80,-2.67,141.3,81.77,10.29
491,Saravan,90,AM,1584476397,79,39.72,45.65,42.8,13.87
492,Kimbe,96,PG,1584476397,94,-5.55,150.14,74.75,2.44
493,Eten,20,PE,1584476397,29,-6.91,-79.86,66.2,13.87
494,Harper,90,LR,1584476146,93,4.38,-7.72,78.17,4.23
495,Tumbagaan,100,PH,1584476398,74,5.37,120.31,81.05,6.82
496,Ust'-Omchug,80,RU,1584476398,97,61.15,149.63,-1.75,1.9
497,Lubango,100,AO,1584476398,97,-14.92,13.49,61.61,2.84
498,Karasjok,20,NO,1584476398,79,69.47,25.51,26.6,11.41
499,Ulaanbaatar,40,MN,1584476398,73,47.91,106.88,24.8,20.13
500,Léogâne,20,HT,1584476398,51,18.51,-72.63,84.2,13.87
501,Nambucca Heads,22,AU,1584476116,93,-30.65,153.0,60.8,8.05
502,Kavieng,100,PG,1584476161,75,-2.57,150.8,83.03,12.35
503,Gijang,0,KR,1584476399,70,35.24,129.21,44.6,2.24
504,Klamath Falls,90,US,1584476399,80,42.22,-121.78,46.99,14.99
505,Nuuk,75,GL,1584476343,48,64.18,-51.72,19.4,16.11
506,Necochea,100,AR,1584475935,76,-38.55,-58.74,71.01,1.99
507,Siniscola,0,IT,1584476399,90,40.57,9.69,42.53,1.88
508,Bloemfontein,100,ZA,1584476317,100,-29.12,26.21,55.4,4.7
509,Pānsemāl,0,IN,1584476400,44,21.65,74.7,76.73,1.43
510,Guayabal de Síquima,40,CO,1584476400,49,4.88,-74.47,71.6,16.11
511,Petropavlovsk-Kamchatskiy,100,RU,1584476400,52,53.05,158.65,17.6,8.95
512,San José de Río Tinto,81,HN,1584476400,74,14.93,-85.7,75.83,5.59
513,Riyadh,32,SA,1584475867,28,24.69,46.72,80.6,10.29
514,San Vicente,86,AR,1584476400,50,-26.62,-54.13,84.11,2.08
515,Binzhou,0,CN,1584476401,30,37.37,118.02,61.0,1.99
516,Kharp,59,RU,1584476401,96,66.8,65.81,6.17,5.21
517,Sungai Penuh,85,ID,1584476163,99,-2.08,101.38,62.87,2.42
518,Kuril'sk,38,RU,1584475925,79,45.23,147.88,27.23,6.51
519,Tiarei,40,PF,1584476401,70,-17.53,-149.33,86.0,11.41
520,Wanning,100,CN,1584476401,81,18.8,110.4,72.95,5.23
521,At-Bashi,97,KG,1584476402,75,41.17,75.81,12.65,2.17
522,Zihuatanejo,5,MX,1584476402,62,17.63,-101.55,87.8,12.75
523,Ambilobe,33,MG,1584476140,92,-13.2,49.05,75.47,3.11
524,Nardaran,100,AZ,1584476402,61,40.56,50.01,42.8,20.8
525,Dospat,0,BG,1584476402,70,41.65,24.17,36.41,3.78
526,Guerrero Negro,0,MX,1584476134,48,27.98,-114.06,66.83,10.8
527,Rosetta,40,EG,1584476402,50,31.4,30.42,57.2,13.87
528,Helena,1,US,1584476403,63,46.59,-112.04,39.0,7.63
529,Beira,40,MZ,1584476403,78,-19.84,34.84,78.8,19.46
530,Camacha,40,PT,1584476403,58,33.08,-16.33,59.0,18.34
531,Eydhafushi,88,MV,1584476403,78,5.1,73.07,84.29,19.71
532,Soure,98,BR,1584476403,87,-0.72,-48.52,79.61,5.35
533,Wattegama,100,LK,1584476403,94,6.8,81.48,73.13,2.08
534,Gushikawa,90,JP,1584476404,87,26.35,127.87,64.4,3.36
535,Mina,40,MX,1584476404,42,26.0,-100.53,84.2,16.11
536,Zlobin,100,HR,1584476404,87,45.29,14.65,46.0,3.58
537,Tegul'det,100,RU,1584476134,88,57.31,88.17,28.13,11.18
538,Varkala,40,IN,1584476161,48,8.73,76.71,86.0,5.82
539,Ouidah,40,BJ,1584476404,83,6.36,2.09,84.2,12.75
540,Yuanping,0,CN,1584476404,21,38.72,112.76,46.85,8.99
541,Sulphur,75,US,1584476405,69,30.24,-93.38,82.4,13.87
542,Miragoâne,0,HT,1584476405,66,18.44,-73.09,78.35,9.82
543,Ripoll,20,ES,1584476405,93,42.2,2.19,55.99,5.82
544,Arman',100,RU,1584476405,94,59.7,150.17,11.03,9.35
545,Dzilam González,18,MX,1584476405,83,21.28,-88.93,76.37,27.69
546,Spencer,40,US,1584476262,56,43.14,-95.14,43.0,10.29
547,Cervo,94,ES,1584476405,1,43.67,-7.41,55.0,0.83
548,Abu Samrah,100,SY,1584476406,84,35.3,37.18,46.13,6.13
549,Kelo,20,TD,1584476406,13,9.31,15.81,82.85,4.23
550,Gemeente Wageningen,75,NL,1584476406,65,51.97,5.67,52.0,5.82
551,Sorong,0,ID,1584476168,96,-0.88,131.25,70.79,1.63
552,Horsham,20,GB,1584476373,93,51.06,-0.33,51.8,10.29
